ClTCi;NOD;NOL;RTLOC;ClRCi;NOA;NSF;TLOC;Bugged;PMd;NPF;NSM
33.0;0.0;0.0;117.0;3.0;0.0;0.0;13.0;False;0.0;0.0;0.0
4.0;0.0;0.0;35.0;4.0;0.0;0.0;18.0;False;1.0;0.0;1.0
2.0;0.0;0.0;19.0;1.0;0.0;0.0;4.0;False;0.0;0.0;0.0
14.666666667000001;0.0;0.0;216.0;1.833333333;0.0;0.0;110.0;False;5.0;0.0;0.0
20.0;0.0;0.0;352.0;2.222222222;0.0;0.0;163.0;False;8.0;0.0;0.0
20.0;0.0;0.0;352.0;2.222222222;0.0;0.0;163.0;False;8.0;0.0;0.0
47.5;0.0;0.0;1172.0;1.979166667;0.0;1.0;374.0;False;13.0;0.0;0.0
47.5;0.0;0.0;1172.0;1.979166667;0.0;1.0;374.0;False;13.0;0.0;0.0
47.5;0.0;0.0;1172.0;1.979166667;0.0;1.0;374.0;False;13.0;0.0;0.0
47.5;0.0;0.0;1172.0;1.979166667;0.0;1.0;374.0;False;13.0;0.0;0.0
47.5;0.0;0.0;1172.0;1.979166667;0.0;1.0;374.0;False;13.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0
25.0;0.0;0.0;173.0;2.777777778;0.0;1.0;67.0;False;9.0;0.0;1.0
48.5;0.0;0.0;1491.0;2.108695652;0.0;23.0;498.0;False;13.0;7.0;3.0
48.5;0.0;0.0;1491.0;2.108695652;0.0;23.0;498.0;False;13.0;7.0;3.0
48.5;0.0;0.0;1491.0;2.108695652;0.0;23.0;498.0;False;13.0;7.0;3.0
48.5;0.0;0.0;1491.0;2.108695652;0.0;23.0;498.0;False;13.0;7.0;3.0
48.5;0.0;0.0;1491.0;2.108695652;0.0;23.0;498.0;False;13.0;7.0;3.0
48.5;0.0;0.0;1491.0;2.108695652;0.0;23.0;498.0;False;13.0;7.0;3.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0
25.333333333000002;0.0;0.0;337.0;2.814814815;0.0;0.0;144.0;False;8.0;0.0;0.0
67.666666667;0.0;0.0;587.0;2.602564103;0.0;0.0;262.0;False;17.0;0.0;3.0
61.833333333;0.0;0.0;539.0;2.473333333;0.0;0.0;223.0;False;17.0;0.0;2.0
3.0;0.0;0.0;56.0;1.0;0.0;0.0;21.0;False;3.0;0.0;0.0
27.0;0.0;0.0;184.0;2.454545455;0.0;0.0;83.0;False;9.0;0.0;1.0
9.0;0.0;0.0;79.0;1.8;0.0;1.0;25.0;False;5.0;0.0;0.0
7.0;0.0;0.0;67.0;1.166666667;0.0;0.0;26.0;False;6.0;0.0;0.0
7.0;0.0;0.0;67.0;1.166666667;0.0;0.0;25.0;False;6.0;0.0;0.0
12.0;0.0;0.0;126.0;1.333333333;0.0;0.0;50.0;False;9.0;0.0;0.0
10.0;0.0;0.0;118.0;1.25;0.0;0.0;49.0;False;8.0;0.0;0.0
1.0;0.0;0.0;9.0;1.0;0.0;0.0;3.0;False;0.0;0.0;0.0
13.666666667000001;0.0;0.0;224.0;1.708333333;0.0;0.0;115.0;False;2.0;0.0;0.0
1.0;0.0;0.0;9.0;1.0;0.0;0.0;3.0;False;0.0;0.0;0.0
1.0;0.0;0.0;15.0;1.0;0.0;1.0;6.0;False;1.0;0.0;0.0
25.0;0.0;0.0;232.0;1.19047619;0.0;0.0;76.0;False;15.0;0.0;0.0
23.0;0.0;0.0;179.0;1.095238095;0.0;0.0;23.0;False;0.0;0.0;0.0
2.0;0.0;0.0;140.0;1.0;0.0;0.0;27.0;False;1.0;0.0;1.0
1.0;0.0;0.0;15.0;0.5;0.0;0.0;4.0;False;0.0;0.0;0.0
4.0;0.0;0.0;27.0;4.0;0.0;0.0;7.0;False;1.0;0.0;0.0
4.0;0.0;0.0;27.0;4.0;0.0;0.0;7.0;False;1.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0
11.0;0.0;0.0;181.0;1.222222222;0.0;1.0;72.0;False;9.0;0.0;1.0
4.0;0.0;0.0;98.0;1.333333333;0.0;0.0;37.0;False;3.0;0.0;0.0
3.0;0.0;0.0;48.0;1.5;0.0;0.0;14.0;False;1.0;0.0;0.0
3.0;0.0;0.0;32.0;1.5;0.0;1.0;12.0;False;1.0;0.0;1.0
3.0;0.0;0.0;111.0;1.0;0.0;0.0;13.0;False;2.0;0.0;2.0
4.0;0.0;0.0;120.0;4.0;0.0;0.0;19.0;False;1.0;0.0;1.0
4.0;0.0;0.0;101.0;2.0;0.0;0.0;34.0;False;1.0;0.0;0.0
1.0;0.0;0.0;13.0;1.0;0.0;0.0;5.0;False;1.0;0.0;0.0
0.0;0.0;0.0;15.0;0.0;0.0;0.0;4.0;False;0.0;0.0;0.0
4.0;0.0;0.0;65.0;0.8;0.0;0.0;28.0;False;5.0;0.0;0.0
2.0;0.0;0.0;41.0;0.666666667;0.0;0.0;15.0;False;3.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0
10.0;0.0;0.0;178.0;1.25;0.0;0.0;82.0;False;7.0;0.0;1.0
17.0;0.0;0.0;262.0;1.888888889;0.0;0.0;137.0;False;5.0;0.0;0.0
2.0;0.0;0.0;40.0;0.666666667;0.0;0.0;15.0;False;3.0;0.0;0.0
3.0;0.0;0.0;31.0;1.5;0.0;1.0;12.0;False;1.0;0.0;1.0
4.0;0.0;0.0;55.0;0.8;0.0;0.0;25.0;False;5.0;0.0;0.0
4.0;0.0;0.0;68.0;0.8;0.0;0.0;28.0;False;5.0;0.0;0.0
4.0;0.0;0.0;64.0;0.8;0.0;0.0;28.0;False;5.0;0.0;0.0
17.333333333;0.0;0.0;246.0;1.925925926;0.0;0.0;124.0;False;5.0;0.0;0.0
4.0;0.0;0.0;71.0;0.8;0.0;0.0;32.0;False;5.0;0.0;0.0
6.0;0.0;0.0;161.0;0.857142857;0.0;0.0;53.0;False;5.0;0.0;0.0
11.0;0.0;0.0;88.0;2.2;0.0;0.0;32.0;False;4.0;0.0;5.0
25.5;0.0;0.0;231.0;1.275;0.0;0.0;63.0;False;12.0;0.0;0.0
30.166666666999998;0.0;0.0;242.0;1.774509804;0.0;0.0;91.0;False;15.0;0.0;0.0
7.0;0.0;0.0;65.0;1.75;0.0;0.0;28.0;False;1.0;0.0;0.0
11.0;0.0;0.0;195.0;1.833333333;0.0;0.0;73.0;False;2.0;0.0;0.0
8.0;0.0;0.0;27.0;4.0;0.0;0.0;9.0;False;1.0;0.0;0.0
3.0;0.0;0.0;31.0;1.5;0.0;1.0;12.0;False;1.0;0.0;1.0
10.0;0.0;0.0;147.0;2.0;0.0;0.0;58.0;False;2.0;0.0;0.0
12.5;0.0;0.0;297.0;1.5625;0.0;0.0;100.0;False;3.0;0.0;0.0
9.5;0.0;0.0;235.0;1.1875;0.0;0.0;97.0;False;3.0;0.0;0.0
11.5;0.0;0.0;228.0;1.642857143;0.0;0.0;82.0;False;2.0;0.0;0.0
8.0;0.0;0.0;171.0;1.333333333;0.0;3.0;80.0;False;3.0;0.0;1.0
5.0;0.0;0.0;75.0;1.25;0.0;0.0;30.0;False;4.0;0.0;0.0
6.0;0.0;0.0;217.0;1.0;0.0;0.0;117.0;False;6.0;0.0;0.0
5.0;0.0;0.0;98.0;1.0;0.0;0.0;42.0;False;3.0;0.0;0.0
6.5;0.0;0.0;166.0;0.928571429;0.0;0.0;75.0;False;3.0;0.0;0.0
3.0;0.0;0.0;31.0;1.5;0.0;1.0;12.0;False;1.0;0.0;1.0
27.5;0.0;0.0;632.0;1.71875;0.0;1.0;238.0;False;4.0;0.0;0.0
10.0;0.0;0.0;244.0;1.111111111;0.0;0.0;126.0;False;6.0;0.0;1.0
