WMC;NOCh;WMC_CK_count;WMC_CK_min;DIT;WMC_CK_25%;NPM;NORM;WMC_CK_std;Bugged;WMC_CK_50%;WMC_CK_mean;NMI;WMC_CK_max;WMC_CK_75%
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0
5.0;0.0;4.0;1.0;1.0;1.0;4.0;0.0;0.0;False;1.0;1.0;0.0;1.0;1.0
2.0;0.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;False;1.0;1.0;0.0;1.0;1.0
1.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;False;1.0;1.0;0.0;1.0;1.0
21.0;0.0;9.0;1.0;1.0;1.0;4.0;0.0;3.570714214271425;False;1.0;3.0;0.0;11.0;2.0
36.0;0.0;0.0;0.0;1.0;0.0;12.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0
36.0;0.0;1.0;1.0;1.0;1.0;12.0;0.0;0.0;False;1.0;1.0;0.0;1.0;1.0
36.0;0.0;14.0;1.0;1.0;1.0;12.0;0.0;3.103525113780801;False;2.0;2.642857142857143;0.0;13.0;3.0
13.0;0.0;3.0;1.0;1.0;1.0;2.0;0.0;5.773502691896257;False;1.0;4.333333333333333;0.0;11.0;6.0
4.0;0.0;3.0;1.0;1.0;1.0;0.0;0.0;0.0;False;1.0;1.0;0.0;1.0;1.0
2.0;0.0;2.0;1.0;1.0;1.0;2.0;0.0;0.0;False;1.0;1.0;0.0;1.0;1.0
14.0;0.0;12.0;1.0;1.0;1.0;9.0;0.0;0.2886751345948129;False;1.0;1.0833333333333333;0.0;2.0;1.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0
12.0;0.0;6.0;1.0;1.0;1.0;6.0;0.0;1.095445115010332;False;2.0;2.0;0.0;3.0;3.0
19.0;0.0;11.0;1.0;1.0;1.0;11.0;0.0;1.1677484162422844;False;1.0;1.818181818181818;0.0;4.0;2.0
7.0;0.0;2.0;3.0;1.0;3.25;2.0;0.0;0.7071067811865476;False;3.5;3.5;0.0;4.0;3.75
1.0;0.0;1.0;2.0;1.0;2.0;1.0;0.0;0.0;False;2.0;2.0;0.0;2.0;2.0
3.0;0.0;2.0;1.0;1.0;1.0;1.0;0.0;0.0;False;1.0;1.0;0.0;1.0;1.0
4.0;0.0;2.0;1.0;1.0;1.0;3.0;0.0;0.0;False;1.0;1.0;0.0;1.0;1.0
