WMC_CK_75%;WMC_CK_25%;WMC_CK_count;NMI;WMC_CK_50%;NOCh;NPM;WMC;NORM;NMIR;Bugged;WMC_CK_mean;WMC_CK_max;WMC_CK_min;DIT;WMC_CK_std
1.0;1.0;4.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;False;1.0;1.0;1.0;0.0;0.0
1.0;1.0;4.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;True;1.0;1.0;1.0;0.0;0.0
1.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;False;1.0;1.0;1.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;True;0.0;0.0;0.0;0.0;0.0
1.0;1.0;29.0;0.0;1.0;0.0;2.0;45.0;0.0;0.0;True;1.7241379310344829;8.0;1.0;1.0;1.5788004425634112
7.0;3.0;35.0;0.0;5.0;0.0;1.0;180.0;0.0;0.0;True;6.142857142857142;22.0;1.0;1.0;4.778277176253932
2.0;1.0;12.0;0.0;1.0;0.0;12.0;27.0;0.0;0.0;True;2.25;7.0;1.0;1.0;2.3011854652449344
1.0;1.0;2.0;0.0;1.0;0.0;2.0;2.0;0.0;0.0;True;1.0;1.0;1.0;1.0;0.0
1.0;1.0;2.0;0.0;1.0;0.0;2.0;2.0;0.0;0.0;True;1.0;1.0;1.0;1.0;0.0
1.0;1.0;2.0;0.0;1.0;0.0;2.0;2.0;0.0;0.0;False;1.0;1.0;1.0;1.0;0.0
1.75;1.25;2.0;0.0;1.5;0.0;2.0;7.0;0.0;0.0;True;1.5;2.0;1.0;1.0;0.7071067811865476
1.75;1.25;2.0;0.0;1.5;0.0;2.0;3.0;0.0;0.0;True;1.5;2.0;1.0;1.0;0.7071067811865476
2.75;2.25;2.0;0.0;2.5;0.0;2.0;7.0;0.0;0.0;True;2.5;3.0;2.0;1.0;0.7071067811865476
2.75;2.25;2.0;0.0;2.5;0.0;2.0;5.0;0.0;0.0;True;2.5;3.0;2.0;1.0;0.7071067811865476
1.75;1.25;2.0;0.0;1.5;0.0;2.0;7.0;0.0;0.0;True;1.5;2.0;1.0;1.0;0.7071067811865476
2.75;2.25;2.0;0.0;2.5;0.0;2.0;7.0;0.0;0.0;True;2.5;3.0;2.0;1.0;0.7071067811865476
1.0;1.0;1.0;0.0;1.0;0.0;2.0;3.0;0.0;0.0;True;1.0;1.0;1.0;1.0;0.0
